strategy_id,family,instrument_lane,registry_lane,evidence_tier,current_status,implementation_status,paper_forward_active,real_money_recommendation,candidate_exhaustive_run,candidate_exhaustive_recommended,promotion_review_required,promotion_decision,promotion_reason,primary_failure_mode,duplication_risk,risk_budget_status,latest_evidence_path,metrics_source,target_300_evidence,target_400_evidence,drawdown_evidence,stop_hit_evidence,stress_evidence,missing_evidence,evidence_needed,blocked_reason,duplicate_of,recommended_next_action,candidate_exhaustive_allowed,paper_forward_allowed,allowed_next_actions,forbidden_next_actions
portfolio_spy200d_80_bil_20_v1,fixed_weight_portfolio,diversified ETF portfolio,compact_challenge,tier3_candidate_validation,duplicate_or_near_duplicate,implemented_exploratory,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (duplicate_or_near_duplicate); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,duplicate_or_near_duplicate,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,incremental target-window and attribution evidence,,,duplicate_risk_review,False,False,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights
portfolio_spy200d_70_bil_30_v1,fixed_weight_portfolio,diversified ETF portfolio,compact_challenge,tier3_candidate_validation,duplicate_or_near_duplicate,implemented_exploratory,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (duplicate_or_near_duplicate); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,duplicate_or_near_duplicate,evidence_missing,evidence/challenge_runs/latest/,,,,,,,,incremental target-window and attribution evidence,,,duplicate_risk_review,False,False,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights
dual_momentum_SPY_GLD_IEF_v1,dual_momentum,ETF,profit_exploration,tier2_credible_prototype,duplicate_skipped,duplicate_skipped,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (duplicate_skipped); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,duplicate_skipped,evidence_missing,evidence/profit_exploration/latest/,,,,,,,,incremental target-window and attribution evidence,,,duplicate_risk_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_candidate_exhaustive;tune_parameters;change_paper_forward_rules
value_momentum_factor_etf_rotation_v1,factor_rotation,ETF,profit_exploration,tier2_credible_prototype,duplicate_or_near_duplicate,implemented_research_sample,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (canonical_unique); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,canonical_unique,evidence_missing,evidence/profit_exploration/latest/,candidate_status_matrix.csv,,,,,,,incremental target-window and attribution evidence,,,duplicate_risk_review,False,False,research_sample_review,run_backtest_before_implementation_prompt;observe_as_paper_forward;promote_to_real_money;add_broker_integration;tune_parameters;change_paper_forward_rules;add_factor_variants_without_review
combo_plus_top2_50_50_v1,fixed_strategy_combination,fixed ETF combination,profit_exploration,tier2_credible_prototype,duplicate_or_near_duplicate,implemented_research_sample,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (duplicate_or_near_duplicate); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,duplicate_or_near_duplicate,evidence_missing,evidence/combination_lab/batch1_diagnostics_completion/latest/,,,,,,,,incremental target-window and attribution evidence,,,duplicate_risk_review,False,False,research_sample_review,observe_as_paper_forward;promote_to_real_money;add_broker_integration;place_live_orders;tune_weights;change_active_combo_rules;replace_spy200d
combo_plus_commodity_basket_80_20_v1,fixed_strategy_combination,commodity_ETF,profit_exploration,tier1_or_tier2_exploratory,watchlist,implemented_research_sample,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (combo_SPY200d_GLD_50_50_v1 correlation 0.962); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,combo_SPY200d_GLD_50_50_v1 correlation 0.962,inside_90d_budget,evidence/commodity_lab/risk_control_batch1_diagnostics_completion/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/commodity_lab/risk_control_batch1/latest/risk_control_batch1_results.csv,0.3076923076923077,0.0512820512820512,-275.0245208314236,,,,incremental target-window and attribution evidence,,,duplicate_risk_review,False,False,research_sample_review,observe_as_paper_forward;promote_to_real_money;add_broker_integration;place_live_orders;use_futures_contract_logic;tune_parameters;add_symbols_without_review;change_active_combo_rules;replace_spy200d
combo_plus_crypto_spot_tsmom_90_10_v1,fixed_strategy_combination,crypto_spot,profit_exploration,tier2_exploratory,research_sample_candidate,implemented_research_sample,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (combo_SPY200d_GLD_50_50_v1 correlation 0.982); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,combo_SPY200d_GLD_50_50_v1 correlation 0.982,inside_90d_budget,evidence/crypto_lab/tier2_risk_control_batch1/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/crypto_lab/tier2_risk_control_batch1/latest/tier2_risk_control_batch1_results.csv,0.3076923076923077,0.1794871794871795,-368.679955877526,,,,incremental target-window and attribution evidence,,,duplicate_risk_review,False,False,research_sample_review,observe_as_paper_forward;promote_to_real_money;add_broker_integration;place_live_orders;use_futures_contract_logic;use_perpetuals;use_margin;use_leverage;tune_parameters;add_crypto_assets_without_review;change_active_combo_rules;replace_spy200d
global_multi_asset_tsmom_top2_v1,global_multi_asset_etf_momentum,etf_fund_wrappers,profit_exploration,tier1_or_tier2_exploratory,research_sample_candidate_risk_budget_breach,implemented_research_sample,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (canonical_unique); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,canonical_unique,inside_90d_budget,evidence/multi_asset_lab/fast_exploration_batch1/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/profit_exploration/latest/profit_rankings.csv,0.6410256410256411,0.3076923076923077,-574.1186612854481,,23.541216981101115,,incremental target-window and attribution evidence,,nan,duplicate_risk_review,False,False,research_sample_review,observe_as_paper_forward;promote_to_real_money;add_broker_integration;place_live_orders;use_futures_contract_logic;use_leverage;use_margin;use_shorting;tune_parameters;add_symbols_without_review;change_active_combo_rules;replace_spy200d
global_multi_asset_tsmom_top2_defensive_50_v1,global_multi_asset_etf_momentum,etf_fund_wrappers,profit_exploration,tier1_or_tier2_exploratory,watchlist,implemented_research_sample,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (canonical_unique); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,canonical_unique,inside_90d_budget,evidence/multi_asset_lab/fast_exploration_batch1/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/profit_exploration/latest/profit_rankings.csv,0.2051282051282051,0.0256410256410256,-263.28652384046745,,143.1315719287095,,incremental target-window and attribution evidence,,nan,duplicate_risk_review,False,False,research_sample_review,observe_as_paper_forward;promote_to_real_money;add_broker_integration;place_live_orders;use_futures_contract_logic;use_leverage;use_margin;use_shorting;tune_parameters;add_symbols_without_review;change_active_combo_rules;replace_spy200d
combo_plus_global_multi_asset_80_20_v1,fixed_strategy_combination,etf_fund_wrappers,profit_exploration,tier1_or_tier2_exploratory,watchlist,implemented_research_sample,False,False,False,False,False,mark_duplicate_or_near_duplicate,Duplicate or near-duplicate behavior is already flagged (combo_SPY200d_GLD_50_50_v1 correlation 0.960); do not promote without incremental target-window evidence.,duplicate_or_near_duplicate,combo_SPY200d_GLD_50_50_v1 correlation 0.960,inside_90d_budget,evidence/multi_asset_lab/fast_exploration_batch1/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/profit_exploration/latest/profit_rankings.csv,0.3076923076923077,0.2051282051282051,-420.76300101953575,,23.6293126653145,,incremental target-window and attribution evidence,,nan,duplicate_risk_review,False,False,research_sample_review,observe_as_paper_forward;promote_to_real_money;add_broker_integration;place_live_orders;use_futures_contract_logic;use_leverage;use_margin;use_shorting;tune_parameters;add_symbols_without_review;change_active_combo_rules;replace_spy200d
