family_id,horizon,common_history_rows,sampled_window_count,sampled_dates_distribution,bull_bear_recent_representation,horizon_sufficiency,short_history_penalized_correctly,deterministic,too_few_to_detect_signal,overlap_heavy,notes
managed_futures_etf_wrapper,30,1075,240,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,True,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
managed_futures_etf_wrapper,60,1075,240,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,True,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
managed_futures_etf_wrapper,90,1075,240,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,True,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
managed_futures_etf_wrapper,180,1075,240,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,reasonable_for_fast_discovery,True,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
dual_momentum_paa_etf_wrapper,30,4795,240,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
dual_momentum_paa_etf_wrapper,60,4795,240,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
dual_momentum_paa_etf_wrapper,90,4795,240,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
dual_momentum_paa_etf_wrapper,180,4795,240,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,reasonable_for_fast_discovery,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
gtaa_faber_style_benchmark_lane,90,4795,180,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
gtaa_faber_style_benchmark_lane,180,4795,180,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,reasonable_for_fast_discovery,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
gror_balanced_momentum_60_40_v1,30,4795,4513,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
gror_balanced_momentum_60_40_v1,60,4795,4483,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
gror_balanced_momentum_60_40_v1,90,4795,4453,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,partial,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
gror_balanced_momentum_60_40_v1,180,4795,4363,deterministic_linspace_or_all_possible,reasonable_but_not_formally_regime_stratified,reasonable_for_fast_discovery,False,True,False,True,"Fast discovery sampling is practical, not institutional final validation."
