family_id,strategy_id,score,verdict,top_failed_criteria,target_300,target_400,worst_drawdown,stop_hit_rate,duplicate_label,benchmark_delta_status,was_verdict_determined_by_risk,was_verdict_determined_by_benchmark_underperformance,was_verdict_determined_by_duplicate,was_verdict_determined_by_missing_data,should_verdict_be_rechecked,notes
managed_futures_etf_wrapper,mf_wrapper_top1_trend_v1,47.93,watchlist,below_promotion_threshold,0.4,0.31666666666666665,-588.3910783790179,0.0,not_proven_duplicate,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
managed_futures_etf_wrapper,mf_wrapper_top2_risk_adjusted_v1,48.38,watchlist,below_promotion_threshold,0.2125,0.19166666666666668,-309.50040724312385,0.0,not_proven_duplicate,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
managed_futures_etf_wrapper,mf_wrapper_plus_spy_70_30_v1,33.98,duplicate_or_near_duplicate,duplicate_gate,0.6625,0.3875,-335.835454361576,0.0,duplicate_or_near_duplicate,available_or_not_required_for_fast_score,False,False,True,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
managed_futures_etf_wrapper,mf_wrapper_defensive_cash_switch_v1,50.06,watchlist,below_promotion_threshold,0.22083333333333333,0.15833333333333333,-251.0106808102064,0.0,not_proven_duplicate,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
managed_futures_etf_wrapper,mf_wrapper_plus_dsr_vm_combo_proxy_v1,0,evidence_missing,missing_data,,,,,evidence_missing,unavailable,False,False,False,True,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
dual_momentum_paa_etf_wrapper,dm_global_dual_momentum_top1_v1,5.69,too_risky,risk_or_stop_gate,0.4708333333333333,0.32916666666666666,-701.3227183245967,0.016666666666666666,not_proven_duplicate,available_or_not_required_for_fast_score,True,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
dual_momentum_paa_etf_wrapper,dm_multi_asset_top2_absolute_momentum_v1,22.69,too_risky,risk_or_stop_gate,0.44166666666666665,0.32083333333333336,-650.4405337695484,0.0,not_proven_duplicate,available_or_not_required_for_fast_score,True,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
dual_momentum_paa_etf_wrapper,dm_protective_canary_bil_v1,26.63,too_risky,risk_or_stop_gate,0.525,0.37916666666666665,-634.138483320829,0.0,not_proven_duplicate,available_or_not_required_for_fast_score,True,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
dual_momentum_paa_etf_wrapper,dm_balanced_offensive_defensive_v1,50.14,watchlist,below_promotion_threshold,0.42083333333333334,0.2916666666666667,-577.2794608385075,0.0,not_proven_duplicate,available_or_not_required_for_fast_score,False,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
dual_momentum_paa_etf_wrapper,dm_paa_breadth_protection_v1,51.84,watchlist,below_promotion_threshold,0.42083333333333334,0.2916666666666667,-534.3345952131704,0.0,not_proven_duplicate,available_or_not_required_for_fast_score,False,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,gtaa_top3_trend_filter_v1,56.76,watchlist,below_promotion_threshold,,,,,,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,gtaa_breadth_defensive_v1,54.94,watchlist,below_promotion_threshold,,,,,,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,carry_yield_defensive_filter_v1,51.43,watchlist,below_promotion_threshold,,,,,,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,static_all_weather_trend_filtered_v1,49.79,watchlist,below_promotion_threshold,,,,,,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,static_all_weather_equal_weight_v1,49.66,watchlist,below_promotion_threshold,,,,,,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,static_permanent_portfolio_v1,49.66,watchlist,below_promotion_threshold,,,,,,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,gtaa_spy_gld_ief_static_trend_v1,48.17,watchlist,below_promotion_threshold,,,,,,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,gtaa_equal_weight_trend_filter_v1,47.31,watchlist,below_promotion_threshold,,,,,,available_or_not_required_for_fast_score,False,False,False,False,True,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,gtaa_top2_risk_adjusted_v1,24.7917170996014,too_risky,risk_or_stop_gate,,,,,,available_or_not_required_for_fast_score,True,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,dividend_quality_top2_v1,21.86116981385647,too_risky,risk_or_stop_gate,,,,,,available_or_not_required_for_fast_score,True,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,dividend_quality_trend_equal_weight_v1,20.167464249105457,too_risky,risk_or_stop_gate,,,,,,available_or_not_required_for_fast_score,True,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,low_beta_usmv_splv_top1_v1,9.191513583619894,too_risky,risk_or_stop_gate,,,,,,available_or_not_required_for_fast_score,True,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,low_beta_usmv_splv_50_50_v1,8.883369120386789,too_risky,risk_or_stop_gate,,,,,,available_or_not_required_for_fast_score,True,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
parallel_research_discovery,carry_yield_top2_v1,6.48816463236642,too_risky,risk_or_stop_gate,,,,,,available_or_not_required_for_fast_score,True,False,False,False,False,Early-discovery gate is conservative; consider richer watchlist labels rather than threshold relaxation.
gror_balanced_momentum_60_40_v1,gror_balanced_momentum_60_40_v1,,candidate_exhaustive_watchlist,candidate_validation_watchlist,,,,,not_fatal_or_unavailable,available_for_proxy_benchmarks,False,False,False,False,False,"Candidate exhaustive output ended watchlist, not pass."
